No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
97,T,AT&T Inc.,Technology,Telecom Services - Domestic,USA,277.10B,16.63,37.84,1.10%,"28,334,638"
98,NEM,Newmont Goldcorp Corporation,Basic Materials,Gold,USA,31.88B,-,37.92,-1.25%,"8,069,452"
99,LM,"Legg Mason, Inc.",Financial,Asset Management,USA,3.32B,-,38.19,-0.44%,"686,725"
100,TRIP,"TripAdvisor, Inc.",Technology,Internet Information Providers,USA,5.31B,39.75,38.68,0.65%,"1,121,288"
101,EBAY,eBay Inc.,Services,"Specialty Retail, Other",USA,33.17B,18.68,38.98,1.59%,"6,149,241"
102,NRG,"NRG Energy, Inc.",Utilities,Diversified Utilities,USA,10.03B,26.42,39.60,0.41%,"1,822,145"
103,HP,"Helmerich & Payne, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,4.44B,-,40.07,-1.23%,"1,467,250"
104,CBS,CBS Corporation,Services,Entertainment - Diversified,USA,15.16B,5.04,40.37,0.12%,"2,986,991"
105,BSX,Boston Scientific Corporation,Healthcare,Medical Appliances & Equipment,USA,59.55B,42.79,40.69,0.94%,"7,847,816"
106,MO,"Altria Group, Inc.",Consumer Goods,Cigarettes,USA,77.41B,11.90,40.90,1.92%,"9,888,380"
107,LEG,"Leggett & Platt, Incorporated",Consumer Goods,Home Furnishings & Fixtures,USA,5.37B,19.14,40.94,0.05%,"802,230"
108,ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,22.83B,18.04,41.07,0.32%,"2,256,826"
109,TWTR,"Twitter, Inc.",Technology,Internet Information Providers,USA,32.69B,13.66,41.20,-0.36%,"7,540,436"
110,SEE,Sealed Air Corporation,Consumer Goods,Packaging & Containers,USA,6.41B,24.18,41.51,0.34%,"1,042,376"
111,MAS,Masco Corporation,Industrial Goods,General Building Materials,USA,12.00B,17.12,41.68,0.00%,"2,031,084"
112,IP,International Paper Company,Consumer Goods,Packaging & Containers,USA,16.65B,10.74,41.82,0.38%,"2,551,541"
113,SCHW,The Charles Schwab Corporation,Financial,Investment Brokerage - National,USA,53.99B,15.76,41.83,1.01%,"4,930,512"
114,MS,Morgan Stanley,Financial,Investment Brokerage - National,USA,70.16B,9.30,42.67,-0.40%,"6,213,457"
115,MU,"Micron Technology, Inc.",Technology,Semiconductor- Memory Chips,USA,53.20B,5.07,42.85,-0.83%,"31,423,050"
116,CNC,Centene Corporation,Healthcare,Health Care Plans,USA,17.88B,14.22,43.26,0.21%,"4,832,627"
117,ETFC,E*TRADE Financial Corporation,Financial,Investment Brokerage - National,USA,10.62B,10.76,43.69,0.98%,"2,085,194"
118,CCL,Carnival Corporation & Plc,Services,Resorts & Casinos,USA,29.94B,9.90,43.71,0.30%,"4,721,916"
119,HRL,Hormel Foods Corporation,Consumer Goods,Meat Products,USA,23.35B,24.07,43.73,0.44%,"1,856,078"
120,JCI,Johnson Controls International plc,Consumer Goods,Auto Parts,USA,34.86B,34.64,43.89,0.50%,"3,961,617"
121,OXY,Occidental Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,40.02B,8.86,44.47,-1.48%,"6,496,381"
122,ZION,"Zions Bancorporation, National Association",Financial,Regional - Pacific Banks,USA,7.94B,10.72,44.52,0.36%,"1,236,734"
123,CMCSA,Comcast Corporation,Services,Entertainment - Diversified,USA,205.30B,16.98,45.08,0.60%,"13,892,900"
124,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,44.63B,12.08,45.21,1.53%,"5,693,600"
125,FLS,Flowserve Corporation,Industrial Goods,Diversified Machinery,USA,6.13B,30.57,46.71,-0.28%,"877,318"
126,CPB,Campbell Soup Company,Consumer Goods,Processed & Packaged Goods,USA,14.08B,29.72,46.92,0.11%,"1,600,478"
127,MET,"MetLife, Inc.",Financial,Life Insurance,USA,43.90B,7.75,47.16,-0.42%,"4,075,937"
128,CAH,"Cardinal Health, Inc.",Services,Drugs Wholesale,USA,14.02B,10.46,47.19,-0.80%,"2,460,894"
129,DOW,Dow Inc.,Basic Materials,Chemicals - Major Diversified,USA,35.53B,17.19,47.65,1.23%,"2,511,241"
130,AOS,A. O. Smith Corporation,Industrial Goods,Industrial Electrical Equipment,USA,7.82B,19.21,47.71,0.10%,"945,696"
131,XEC,Cimarex Energy Co.,Basic Materials,Independent Oil & Gas,USA,4.75B,7.74,47.94,0.17%,"1,119,467"
132,FE,FirstEnergy Corp.,Utilities,Electric Utilities,USA,25.82B,20.68,48.23,-0.41%,"6,638,537"
133,EXC,Exelon Corporation,Utilities,Diversified Utilities,USA,47.52B,20.62,48.31,-0.56%,"3,896,016"
134,UDR,"UDR, Inc.",Financial,REIT - Residential,USA,14.23B,58.27,48.48,0.31%,"1,653,014"
135,TXT,Textron Inc.,Industrial Goods,Aerospace/Defense - Major Diversified,USA,11.54B,9.99,48.96,-0.49%,"1,499,529"
136,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Chemicals,USA,10.87B,23.62,49.20,1.13%,"3,311,081"
137,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,209.72B,17.63,49.41,1.17%,"14,903,627"
138,KSS,Kohl's Corporation,Services,Department Stores,USA,7.83B,10.91,49.66,0.04%,"2,220,534"
139,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,48.63B,16.65,49.90,0.95%,"6,674,770"
140,WFC,Wells Fargo & Company,Financial,Money Center Banks,USA,225.44B,10.33,50.44,-0.53%,"26,784,612"
141,HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,USA,13.50B,-,50.49,1.77%,"3,600,941"
142,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - Major,USA,82.96B,13.32,50.71,0.98%,"15,948,918"
143,NUE,Nucor Corporation,Basic Materials,Steel & Iron,USA,15.55B,7.16,50.91,1.80%,"1,828,888"
144,L,Loews Corporation,Financial,Property & Casualty Insurance,USA,15.46B,21.11,51.48,-0.06%,"833,105"
145,INTC,Intel Corporation,Technology,Semiconductor - Broad Line,USA,228.91B,12.07,51.53,1.48%,"13,652,056"
146,NCLH,Norwegian Cruise Line Holdings Ltd.,Services,Resorts & Casinos,USA,11.21B,11.61,51.77,1.47%,"1,104,337"
